S_ime,W_time,R_time,Processors,id,type,Max_resource,Min_resource,Total_cost
15517877.600000001,11,74700,240,15001,1,240,240,17928000
15519306.4,0,116,200,15002,1,200,200,23200
15521294.4,5,462,1,15003,1,1,1,462
15521908.8,0,246,1,15004,1,1,1,246
15522352.0,2,84,36,15005,1,36,36,3024
15522435.200000001,1,83,36,15006,1,36,36,2988
15522464.0,1,227,1,15007,1,1,1,227
15522603.200000001,1,95,36,15008,1,36,36,3420
15522718.4,1,102,36,15009,1,36,36,3672
15522748.8,5,248,1,15010,1,1,1,248
15522856.0,4,241,36,15011,1,36,36,8676
15523042.4,1,147,36,15012,1,36,36,5292
15523165.600000001,6,1696,36,15013,1,36,36,61056
15523180.0,10,509,1,15014,1,1,1,509
15523207.200000001,3,398,1,15015,1,1,1,398
15523288.8,5,1730,36,15016,1,36,36,62280
15523554.4,9,1666,36,15017,1,36,36,59976
15523568.0,3,1591,36,15018,1,36,36,57276
15524517.600000001,0,9157,2000,15019,1,2000,2000,18314000
15524544.8,1,405,1,15020,1,1,1,405
15524696.8,6,146,200,15021,1,200,200,29200
15525177.600000001,0,499,1,15022,1,1,1,499
15525398.4,1,300,200,15023,1,200,200,60000
15525996.8,3,146,200,15024,1,200,200,29200
15526245.600000001,4,104,200,15025,1,200,200,20800
15526552.0,0,296,1,15026,1,1,1,296
15526565.600000001,11,458,1,15027,1,1,1,458
15526815.200000001,9,83,240,15028,1,240,240,19920
15526832.0,0,86400,2000,15029,1,2000,2000,172800000
15526836.8,6,135,240,15030,1,240,240,32400
15526857.600000001,2,102,240,15031,1,240,240,24480
15527012.8,0,1229,240,15032,1,240,240,294960
15527015.200000001,9,1062,1,15033,1,1,1,1062
15527026.4,11,1227,240,15034,1,240,240,294480
15527056.8,4,1229,240,15035,1,240,240,294960
15527157.600000001,1,1133,240,15036,1,240,240,271920
15527213.600000001,361,6929,2000,15037,1,2000,2000,13858000
15527464.8,0,62727,240,15038,1,240,240,15054480
15527496.8,7,1400,48,15039,1,48,48,67200
15527895.200000001,6731,843,2000,15040,1,2000,2000,1686000
15527895.200000001,2,62198,240,15041,1,240,240,14927520
15527911.200000001,4,47,20,15042,1,20,20,940
15527912.0,3,600,40,15043,1,40,40,24000
15527912.0,3,600,80,15044,1,80,80,48000
15527912.0,3,600,160,15045,1,160,160,96000
15527912.0,3,600,320,15046,1,320,320,192000
15527912.0,3,600,640,15047,1,640,640,384000
15527912.0,722,104,1280,15048,1,1280,1280,133120
15527912.8,2933,143,2560,15049,1,2560,2560,366080
15527912.8,6416,122,5120,15050,1,5120,5120,624640
15527966.4,4,62096,240,15051,1,240,240,14903040
15527985.600000001,2842,59234,240,15052,1,240,240,14216160
15528007.200000001,2837,59212,240,15053,1,240,240,14210880
15528028.0,2932,59091,240,15054,1,240,240,14181840
15528051.200000001,1,1200,1,15055,1,1,1,1200
15528272.8,1,1567,20,15056,1,20,20,31340
15528277.600000001,11,1551,20,15057,1,20,20,31020
15528277.600000001,11,1563,20,15058,1,20,20,31260
15528278.4,10,1551,20,15059,1,20,20,31020
15528278.4,10,1551,20,15060,1,20,20,31020
15528278.4,10,1551,20,15061,1,20,20,31020
15528278.4,10,1563,20,15062,1,20,20,31260
15528279.200000001,9,1551,20,15063,1,20,20,31020
15528279.200000001,9,1563,20,15064,1,20,20,31260
15528279.200000001,9,1563,20,15065,1,20,20,31260
15528279.200000001,9,1563,20,15066,1,20,20,31260
15528279.200000001,9,1563,20,15067,1,20,20,31260
15528280.0,8,1551,20,15068,1,20,20,31020
15528280.0,8,1551,20,15069,1,20,20,31020
15528280.0,8,1563,20,15070,1,20,20,31260
15528280.0,8,1563,20,15071,1,20,20,31260
15528280.8,7,1563,20,15072,1,20,20,31260
15528280.8,7,1563,20,15073,1,20,20,31260
15528280.8,7,1563,20,15074,1,20,20,31260
15528281.600000001,6,1563,20,15075,1,20,20,31260
15528281.600000001,6,1563,20,15076,1,20,20,31260
15528281.600000001,6,1563,20,15077,1,20,20,31260
15528281.600000001,6,1563,20,15078,1,20,20,31260
15528281.600000001,6,1563,20,15079,1,20,20,31260
15528281.600000001,6,1563,20,15080,1,20,20,31260
15528281.600000001,6,1563,20,15081,1,20,20,31260
15528282.4,5,1563,20,15082,1,20,20,31260
15528282.4,5,1563,20,15083,1,20,20,31260
15528282.4,5,1563,20,15084,1,20,20,31260
15528282.4,5,1563,20,15085,1,20,20,31260
15528282.4,5,1563,20,15086,1,20,20,31260
15528282.4,5,1563,20,15087,1,20,20,31260
15528282.4,5,1563,20,15088,1,20,20,31260
15528283.200000001,4,1563,20,15089,1,20,20,31260
15528283.200000001,4,1563,20,15090,1,20,20,31260
15528283.200000001,4,1563,20,15091,1,20,20,31260
15528283.200000001,4,1563,20,15092,1,20,20,31260
15528283.200000001,4,1563,20,15093,1,20,20,31260
15528283.200000001,4,1563,20,15094,1,20,20,31260
15528283.200000001,4,1563,20,15095,1,20,20,31260
15528284.0,3,1563,20,15096,1,20,20,31260
15528284.0,3,1563,20,15097,1,20,20,31260
15528284.0,3,1563,20,15098,1,20,20,31260
15528284.0,3,1563,20,15099,1,20,20,31260
15528284.0,3,1563,20,15100,1,20,20,31260
15528284.0,3,1563,20,15101,1,20,20,31260
15528284.0,3,1563,20,15102,1,20,20,31260
15528284.8,2,1563,20,15103,1,20,20,31260
15528284.8,2,1563,20,15104,1,20,20,31260
15528620.0,3,26598,80,15105,1,80,80,2127840
15528636.8,4,4551,80,15106,1,80,80,364080
15529266.4,5017,219,2400,15107,1,2400,2400,525600
15529435.200000001,0,104,40,15108,1,40,40,4160
15529440.8,5,47,20,15109,1,20,20,940
15529508.8,0,102,80,15110,1,80,80,8160
15529522.4,6,100,160,15111,1,160,160,16000
