S_ime,W_time,R_time,Processors,id,type,Max_resource,Min_resource,Total_cost
16487744.95,11,74700,240,15001,1,240,240,17928000
16489263.049999999,0,116,200,15002,1,200,200,23200
16491375.299999999,5,462,1,15003,1,1,1,462
16492028.1,0,246,1,15004,1,1,1,246
16492499.0,2,84,36,15005,1,36,36,3024
16492587.4,1,83,36,15006,1,36,36,2988
16492618.0,1,227,1,15007,1,1,1,227
16492765.9,1,95,36,15008,1,36,36,3420
16492888.299999999,1,102,36,15009,1,36,36,3672
16492920.6,5,248,1,15010,1,1,1,248
16493034.5,4,241,36,15011,1,36,36,8676
16493232.549999999,1,147,36,15012,1,36,36,5292
16493363.45,6,1696,36,15013,1,36,36,61056
16493378.75,10,509,1,15014,1,1,1,509
16493407.65,3,398,1,15015,1,1,1,398
16493494.35,5,1730,36,15016,1,36,36,62280
16493776.549999999,9,1666,36,15017,1,36,36,59976
16493791.0,3,1591,36,15018,2,49,22,57276
16494799.95,0,9157,2000,15019,1,2000,2000,18314000
16494828.85,1,405,1,15020,1,1,1,405
16494990.35,6,146,200,15021,1,200,200,29200
16495501.2,0,499,1,15022,1,1,1,499
16495735.799999999,1,300,200,15023,1,200,200,60000
16496371.6,3,146,200,15024,1,200,200,29200
16496635.95,4,104,200,15025,1,200,200,20800
16496961.5,0,296,1,15026,1,1,1,296
16496975.95,11,458,1,15027,1,1,1,458
16497241.15,9,83,240,15028,3,384,192,19920
16497259.0,0,86400,2000,15029,1,2000,2000,172800000
16497264.1,6,135,240,15030,1,240,240,32400
16497286.2,2,102,240,15031,1,240,240,24480
16497451.1,0,1229,240,15032,1,240,240,294960
16497453.65,9,1062,1,15033,1,1,1,1062
16497465.549999999,11,1227,240,15034,1,240,240,294480
16497497.85,4,1229,240,15035,1,240,240,294960
16497604.95,1,1133,240,15036,3,384,192,271920
16497664.45,361,6929,2000,15037,1,2000,2000,13858000
16497931.35,0,62727,240,15038,1,240,240,15054480
16497965.35,7,1400,48,15039,2,65,29,67200
16498388.65,6731,843,2000,15040,1,2000,2000,1686000
16498388.65,2,62198,240,15041,1,240,240,14927520
16498405.65,4,47,20,15042,1,20,20,940
16498406.5,3,600,40,15043,1,40,40,24000
16498406.5,3,600,80,15044,1,80,80,48000
16498406.5,3,600,160,15045,2,216,96,96000
16498406.5,3,600,320,15046,2,432,192,192000
16498406.5,3,600,640,15047,3,1024,512,384000
16498406.5,722,104,1280,15048,2,1728,768,133120
16498407.35,2933,143,2560,15049,3,4096,2048,366080
16498407.35,6416,122,5120,15050,1,5120,5120,624640
16498464.299999999,4,62096,240,15051,1,240,240,14903040
16498484.7,2842,59234,240,15052,1,240,240,14216160
16498507.65,2837,59212,240,15053,1,240,240,14210880
16498529.75,2932,59091,240,15054,1,240,240,14181840
16498554.4,1,1200,1,15055,1,1,1,1200
16498789.85,1,1567,20,15056,1,20,20,31340
16498794.95,11,1551,20,15057,1,20,20,31020
16498794.95,11,1563,20,15058,1,20,20,31260
16498795.799999999,10,1551,20,15059,1,20,20,31020
16498795.799999999,10,1551,20,15060,1,20,20,31020
16498795.799999999,10,1551,20,15061,1,20,20,31020
16498795.799999999,10,1563,20,15062,1,20,20,31260
16498796.65,9,1551,20,15063,1,20,20,31020
16498796.65,9,1563,20,15064,1,20,20,31260
16498796.65,9,1563,20,15065,1,20,20,31260
16498796.65,9,1563,20,15066,1,20,20,31260
16498796.65,9,1563,20,15067,1,20,20,31260
16498797.5,8,1551,20,15068,1,20,20,31020
16498797.5,8,1551,20,15069,1,20,20,31020
16498797.5,8,1563,20,15070,1,20,20,31260
16498797.5,8,1563,20,15071,1,20,20,31260
16498798.35,7,1563,20,15072,1,20,20,31260
16498798.35,7,1563,20,15073,1,20,20,31260
16498798.35,7,1563,20,15074,1,20,20,31260
16498799.2,6,1563,20,15075,1,20,20,31260
16498799.2,6,1563,20,15076,1,20,20,31260
16498799.2,6,1563,20,15077,1,20,20,31260
16498799.2,6,1563,20,15078,1,20,20,31260
16498799.2,6,1563,20,15079,1,20,20,31260
16498799.2,6,1563,20,15080,1,20,20,31260
16498799.2,6,1563,20,15081,1,20,20,31260
16498800.049999999,5,1563,20,15082,1,20,20,31260
16498800.049999999,5,1563,20,15083,1,20,20,31260
